id,FullAskText, Бабчинський Олександр Васильович, Бенкендорф Геннадій Данилович, Бойко Андрій Анатолійович, Васильянов Дмитро Сергійович, Гаврилюк Василь Васильович, Гамалій Андрій Вячеславович, Гордійчук Валерій Григорович, Гурома Анатолій Степанович, Гурома Степан Анатолійович, Дюднєв Андрій Михайлович, Дюднєв Артем Михайлович, Жильчук Олександр Борисович, Качуровський Анатолій Іванович, Кобильник Василь Володимирович, Конюшенко Андрій Олександрович, Мазій Олена Миколаївна, Мастикаш Андрій Ігорович, Микуляк Іван Михайлович, Наглюк Юлія Вікторівна, Невенчан Геннадій Володимирович, Пливанюк Юрій Васильович, Полатайко Олександр Миколайович, Посітко Михайло Володимирович, Розбам Микола Нюсевич, Савчук Наталія Федорівна, Сімашкевич Михайло Євстафійович, Слободян Валерій Анатолійович, Старченко Світлана Володимирівна, Ткач Олег Васильович, Ткачук Олександр Анатолійович, Цвігун Борис Ярославович, Чинчик Олександр Сергійович, Чистяков Анатолій Євгенович, Яриновський Юрій Леонідович,result
87,Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Устима Кармалюка та передачу її у власність Єгорову А.В., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ,ВІДСУТНІЙ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
88,"Блок питань:  109-122
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Дуді А.С.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Кузьмінському Є.П.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Возовику М.М.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Зеленому М.М.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Жарію А.В.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Цуканову Д.М.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Мойсієнку А.М.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Полянському В.А.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Рафієву Хафізу Магеррам огли.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Сташенку С.В.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Шевчуку Р.В.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Рачковському О.С.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Продану А.О.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Присяжнюку В.М.Блок питань:  109-122
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Дуді А.С.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Кузьмінському Є.П.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Возовику М.М.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Зеленому М.М.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Жарію А.В.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Цуканову Д.М.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Мойсієнку А.М.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Полянському В.А.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Рафієву Хафізу Магеррам огли.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Сташенку С.В.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Шевчуку Р.В.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Рачковському О.С.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Продану А.О.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Присяжнюку В.М.Блок питань:  109-122
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Дуді А.С.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Кузьмінському Є.П.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Возовику М.М.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Зеленому М.М.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Жарію А.В.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Цуканову Д.М.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Мойсієнку А.М.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Полянському В.А.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Рафієву Хафізу Магеррам огли.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Сташенку С.В.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Шевчуку Р.В.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Рачковському О.С.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Продану А.О.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Присяжнюку В.М.", НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ,ВІДСУТНІЙ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
89,Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Присяжнюку В.М., ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА,ВІДСУТНІЙ,ВІДСУТНІЙ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА,ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
90,Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Наглюку Д.П., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ,ВІДСУТНІЙ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
91,"Блок питань:  124-128
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Халупному В.П.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Федоренку А.П.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Тарнавському А.М.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Мелимуці В.С.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Ясінському С.Л.Блок питань:  124-128
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Халупному В.П.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Федоренку А.П.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Тарнавському А.М.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Мелимуці В.С.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Ясінському С.Л.Блок питань:  124-128
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Халупному В.П.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Федоренку А.П.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Тарнавському А.М.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Мелимуці В.С.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського та передачу її у власність Ясінському С.Л.", ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ,ВІДСУТНІЙ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
92,"Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Крип'якевича, 3 та передачу її в оренду Данилюку І.М., Бойку А.А.", ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ,ВІДСУТНІЙ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
93,"Блок питань:  130-134
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою провулок Некрасова, 15 та передачу її у власність Перунській А.Д.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Павлова, 28 та передачу її у власність Левицькій Ж.Т.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою провулок Гуменецький, 6 та передачу її у власність Попілю Р.О., Попілю В.Р., Попіль В.Р., Громик Г.С.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) площею 0,0073 га. за адресою вулиця Південна, 6 та передачу її у власність Гоменюку В.В. та Гоменюк Л.В.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Південна, 6 та передачу її у власність Гоменюку В.В. та Гоменюк Л.В.Блок питань:  130-134
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою провулок Некрасова, 15 та передачу її у власність Перунській А.Д.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Павлова, 28 та передачу її у власність Левицькій Ж.Т.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою провулок Гуменецький, 6 та передачу її у власність Попілю Р.О., Попілю В.Р., Попіль В.Р., Громик Г.С.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) площею 0,0073 га. за адресою вулиця Південна, 6 та передачу її у власність Гоменюку В.В. та Гоменюк Л.В.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Південна, 6 та передачу її у власність Гоменюку В.В. та Гоменюк Л.В.Блок питань:  130-134
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою провулок Некрасова, 15 та передачу її у власність Перунській А.Д.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Павлова, 28 та передачу її у власність Левицькій Ж.Т.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою провулок Гуменецький, 6 та передачу її у власність Попілю Р.О., Попілю В.Р., Попіль В.Р., Громик Г.С.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) площею 0,0073 га. за адресою вулиця Південна, 6 та передачу її у власність Гоменюку В.В. та Гоменюк Л.В.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Південна, 6 та передачу її у власність Гоменюку В.В. та Гоменюк Л.В.", ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ,ВІДСУТНІЙ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
94,Про надання згоди на відновлення меж земельної ділянки користувачем Кам'янець-Подільському міському центру зайнятості., НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ,ВІДСУТНІЙ,ВІДСУТНІЙ,ВІДСУТНІЙ,ВІДСУТНІЙ,ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, УТРИМАВСЯ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ,РІШЕННЯ НЕ ПРИЙНЯТО
95,"Про надання згоди на поділ земельної ділянки площею 2,1939 га. за адресою проспект Грушевського, 1/9.", ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ,ВІДСУТНІЙ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
96,"Про надання згоди на поділ земельної ділянки площею 2,1939 га. за адресою проспект Грушевського, 1/9.", ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ,ВІДСУТНІЙ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
97,"Про надання згоди на поділ земельної ділянки площею 2,1939 га. за адресою проспект Грушевського, 1/9.", ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ,ВІДСУТНІЙ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
98,"Про надання згоди на поділ земельної ділянки площею 2,1939 га. за адресою проспект Грушевського, 1/9.", ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ,ВІДСУТНІЙ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА,НЕ ГОЛОСУВАВ, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
99,"Про надання згоди на поділ земельної ділянки площею 0,2877 га. за адресою вулиця Нігинське шосе, 1.", ЗА, ЗА, ЗА, ПРОТИ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,ВІДСУТНІЙ,ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА,ВІДСУТНІЙ, УТРИМАВСЯ,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ,РІШЕННЯ НЕ ПРИЙНЯТО
100,"Блок питань: 138-140
Про поновлення дії договору оренди землі, укладеного між Кам’янець-Подільською міською радою та БВ ТзОВ ""Рокор"" за адресою вулиця Молодіжна, 12.
Про поновлення дії договору оренди землі, укладеного між Кам’янець-Подільською міською радою та БВ ТзОВ ""Рокор"" за адресою вулиця Молодіжна, 14.
Про поновлення дії договору оренди землі, укладеного між Кам’янець-Подільською міською радою та БВ ТзОВ ""Рокор"" за адресою вулиця Пушкінська, 29.Блок питань: 138-140
Про поновлення дії договору оренди землі, укладеного між Кам’янець-Подільською міською радою та БВ ТзОВ ""Рокор"" за адресою вулиця Молодіжна, 12.
Про поновлення дії договору оренди землі, укладеного між Кам’янець-Подільською міською радою та БВ ТзОВ ""Рокор"" за адресою вулиця Молодіжна, 14.
Про поновлення дії договору оренди землі, укладеного між Кам’янець-Подільською міською радою та БВ ТзОВ ""Рокор"" за адресою вулиця Пушкінська, 29.", ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ,ВІДСУТНІЙ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
101,"Блок питань: 141-142
Про поновлення дії договору оренди землі, укладеного між Кам’янець-Подільською міською радою та ТзОВ ""Кафе ""Кондитерські вироби"" за адресою вулиця Князів Коріатовичів, 11.
Про поновлення дії договору оренди землі, площею 0,0015 га., укладеного між Кам’янець-Подільською міською радою та ТзОВ ""Кафе ""Кондитерські вироби"" за адресою вулиця Князів Коріатовичів, 11.Блок питань: 141-142
Про поновлення дії договору оренди землі, укладеного між Кам’янець-Подільською міською радою та ТзОВ ""Кафе ""Кондитерські вироби"" за адресою вулиця Князів Коріатовичів, 11.
Про поновлення дії договору оренди землі, площею 0,0015 га., укладеного між Кам’янець-Подільською міською радою та ТзОВ ""Кафе ""Кондитерські вироби"" за адресою вулиця Князів Коріатовичів, 11.", ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ,ВІДСУТНІЙ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
102,"Про поновлення дії договору оренди землі, укладеного між Кам’янець-Подільською міською радою та ПП ""Вектор-Центр"" за адресою вулиця Привокзальна, 23а.", ЗА, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ,ВІДСУТНІЙ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
103,"Про поновлення дії договору оренди землі, укладеного між Кам’янець-Подільською міською радою та ПАТ ""Хмельницькобленерго"" за адресою вулиця Івана Франка, 42.", ЗА, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ,ВІДСУТНІЙ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
104,"Про поновлення дії договору оренди землі та внесення змін до договору оренди землі, укладеного між Кам’янець-Подільською міською радою та Мельником А.Б. за адресою вулиця Нігинське шосе, 33.", УТРИМАВСЯ, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ,ВІДСУТНІЙ,ВІДСУТНІЙ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
105,"Про поновлення дії договору оренди землі, укладеного між Кам’янець-Подільською міською радою та Міроновою Г.В. за адресою вулиця Князів Коріатовичів, 72""б"".", УТРИМАВСЯ, ЗА,ВІДСУТНІЙ, ПРОТИ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,ВІДСУТНІЙ,ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ,ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА,ВІДСУТНІЙ, УТРИМАВСЯ,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ,РІШЕННЯ НЕ ПРИЙНЯТО
106,"Про поновлення дії договору оренди землі, укладеного між Кам’янець-Подільською міською радою та Григоренко О.А. за адресою вулиця Драгоманова, 14а.", ЗА, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ,ВІДСУТНІЙ,ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, УТРИМАВСЯ,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
107,"Про поновлення дії договору оренди землі, укладеного між Кам’янець-Подільською міською радою та Цімерманасом П.Е. за адресою вулиця Дружби народів, 4/2.", ЗА, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ,ВІДСУТНІЙ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ, ЗА,ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
